Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0002,045000,1938,37.3,35.1,35.3,30.6,26.8,20.5,19.9,21.6,27.6,33.2,36.0,39.6,30.3
IDCJAC0002,045000,1939,38.2,33.9,32.8,27.4,25.8,19.3,16.2,19.9,24.4,27.5,32.2,35.2,27.7
IDCJAC0002,045000,1940,37.7,33.0,32.6,null,23.4,22.4,21.3,23.0,28.2,34.0,34.3,37.7,null
IDCJAC0002,045000,1941,29.9,34.2,30.3,28.5,23.8,19.3,20.5,21.8,28.9,31.6,35.4,36.9,28.4
IDCJAC0002,045000,1942,39.8,34.9,35.1,29.2,25.4,22.1,20.2,25.3,28.2,29.9,33.8,34.2,29.8
IDCJAC0002,045000,1943,36.4,35.2,35.5,29.0,23.8,19.0,20.6,20.0,25.9,30.7,33.6,37.7,29.0
IDCJAC0002,045000,1944,38.4,32.9,33.6,29.1,22.2,21.1,20.1,22.8,28.0,30.7,36.6,37.1,29.4
IDCJAC0002,045000,1945,37.3,35.8,34.9,28.1,24.1,21.6,19.3,24.6,27.6,29.5,34.2,37.2,29.5
IDCJAC0002,045000,1946,35.4,37.1,32.2,27.9,27.2,19.4,22.2,25.2,27.6,31.8,37.2,37.2,30.0
IDCJAC0002,045000,1947,40.5,31.7,32.7,27.2,25.1,20.9,20.4,21.1,23.7,29.4,32.9,35.2,28.4
IDCJAC0002,045000,1948,34.8,36.6,32.8,28.8,23.8,21.3,20.8,23.9,27.7,31.8,35.8,36.6,29.6
IDCJAC0002,045000,1949,35.8,34.2,30.2,26.6,22.6,17.6,21.0,23.4,25.8,29.1,32.9,38.4,28.1
IDCJAC0002,045000,1950,35.8,33.0,27.9,26.0,24.6,18.2,19.7,21.7,26.8,28.0,31.4,34.7,27.3
IDCJAC0002,045000,1951,35.1,35.7,35.2,29.0,24.8,20.9,21.7,21.9,28.1,31.4,36.0,35.6,29.6
IDCJAC0002,045000,1952,38.8,36.1,33.1,27.3,23.3,21.4,19.3,21.9,27.8,30.8,33.8,37.8,29.3
IDCJAC0002,045000,1953,33.9,30.6,33.2,32.1,23.9,22.5,21.6,21.6,27.6,32.6,34.5,39.0,29.4
IDCJAC0002,045000,1954,32.6,31.6,34.6,28.2,24.0,19.0,20.6,21.5,26.7,28.6,34.1,34.7,28.0
IDCJAC0002,045000,1955,35.3,32.8,29.9,27.8,20.8,20.6,17.8,23.2,27.3,30.7,null,35.6,null
IDCJAC0002,045000,1956,34.8,33.3,28.8,27.2,21.8,18.2,19.1,20.3,24.2,29.7,33.4,36.0,27.2
IDCJAC0002,045000,1962,34.4,36.9,32.0,27.3,23.0,22.4,21.0,22.0,26.5,32.1,36.7,33.4,29.0
IDCJAC0002,045000,1963,33.9,37.6,32.3,27.1,24.4,19.4,19.7,23.1,28.0,30.1,34.0,37.2,28.9
IDCJAC0002,045000,1964,38.7,37.2,35.6,29.6,25.3,21.8,22.9,23.5,27.8,28.6,33.2,36.3,30.0
IDCJAC0002,045000,1965,37.3,37.4,34.5,30.1,26.2,22.0,19.1,24.1,28.9,32.5,36.2,35.6,30.3
IDCJAC0002,045000,1966,34.1,35.8,34.0,31.3,22.9,22.1,19.3,20.6,26.2,29.4,34.0,35.6,28.8
IDCJAC0002,045000,1967,40.0,37.5,31.1,30.3,null,20.4,20.8,21.5,27.1,34.0,35.7,35.1,null
IDCJAC0002,045000,1968,36.5,35.0,35.1,32.1,19.9,20.8,18.4,21.0,26.6,31.6,37.5,null,null
IDCJAC0002,045000,1969,40.0,38.6,33.8,28.9,24.6,20.3,21.5,24.9,24.5,32.4,35.6,37.0,30.2
IDCJAC0002,045000,1970,37.7,36.6,33.0,29.8,23.6,23.6,21.9,22.6,25.3,32.3,33.7,36.2,29.7
IDCJAC0002,045000,1971,38.1,35.9,31.7,27.2,23.6,21.0,20.3,22.5,27.4,32.4,32.4,36.1,29.1
IDCJAC0002,045000,1972,34.2,34.4,34.1,29.8,24.6,22.9,21.3,28.5,28.6,31.6,35.0,39.4,30.4
IDCJAC0002,045000,1973,37.8,33.8,35.1,31.6,25.5,24.5,22.3,23.3,27.0,32.7,32.4,35.4,30.1
IDCJAC0002,045000,1974,30.8,33.8,34.1,30.3,23.5,21.4,21.9,22.5,24.1,29.9,32.6,37.6,28.5
IDCJAC0002,045000,1975,37.0,34.3,33.2,29.8,27.1,21.5,22.4,22.7,27.6,29.7,34.4,35.5,29.6
IDCJAC0002,045000,1976,31.7,29.8,31.3,27.7,23.8,20.7,21.0,22.7,25.8,27.6,34.7,37.3,27.8
IDCJAC0002,045000,1977,35.3,34.7,31.2,30.0,23.0,20.0,20.8,25.7,26.8,32.9,36.6,37.3,29.5
IDCJAC0002,045000,1978,37.6,36.7,33.8,29.5,23.7,18.6,18.8,20.3,23.2,null,null,null,null
